"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message";"id";"created_time";"from.name";"from.id";"status_type"
"1";"36";"1";"142802334452_10161454548819453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Tokyo confirmed 317 new cases of COVID-19 on Monday, up 81 from the same day a week earlier. #AsiaNewsNetwork";"142802334452_10161454548819453";"2021-06-28T12:11:47+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"37";"1";"142802334452_10161454535874453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"A public official and two teachers were among the 22 newly reported cases of COVID-19 in Zambales on Sunday, an official said.";"142802334452_10161454535874453";"2021-06-28T11:59:04+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"38";"1";"142802334452_10161454499709453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Emergency workers and residents combed through wreckage in southern Czech Republic on Friday after a tornado ripped roofs off buildings and sent cars flying through the air, killing at least five people and injuring hundreds.";"142802334452_10161454499709453";"2021-06-28T11:26:04+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"39";"1";"142802334452_10161454494149453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Philippine digital and financial services firm Voyager Innovations has raised $167 million for its expansion program, including a venture into digital banking, its listed and largest shareholder said.";"142802334452_10161454494149453";"2021-06-28T11:20:40+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"40";"1";"142802334452_10161454484224453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Despite holding the highest government post in the country, Espiritu said Aquino never boasted about it and followed rules such as his own no “wang-wang” policy.";"142802334452_10161454484224453";"2021-06-28T11:11:19+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"41";"1";"142802334452_10161454462084453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"The Sipalay City Government Center will be temporarily closed starting Monday, June 28, until further notice.";"142802334452_10161454462084453";"2021-06-28T10:50:46+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"42";"1";"142802334452_10161454450304453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"On the occasion of the 160th birth anniversary of Dr. Jose Rizal, the NHCP opened a permanent exhibition titled “Rizal in Wilhelmsfeld” at Museo ni Jose Rizal at Fort Santiago in Intramuros, Manila, featuring important artifacts Rizal used in Germany.";"142802334452_10161454450304453";"2021-06-28T10:39:30+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"43";"1";"142802334452_10161454431889453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Today's Evening Prayer. #INQPrayers  Father, you are ""kind and merciful.'' Amen.";"142802334452_10161454431889453";"2021-06-28T10:26:17+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"44";"1";"142802334452_10161454408659453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Police arrested on Sunday three men who allegedly sold P50,000 worth of fake cigarettes to two retail stores in Peñablanca town, Cagayan province.";"142802334452_10161454408659453";"2021-06-28T10:03:58+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"45";"1";"142802334452_10161454375339453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Via CDN Digital  Sealing their love 30 years after 😍  LOOK: Maria Fe S. Fernandez, 61, and Alfonso Sia, 65, were among the 30 couples who tied the knot in a mass wedding held at the San Nicolas de Tolentino Parish Church in Barangay San Nicolas Proper, Cebu City on Saturday, June 26, 2021.   Hazel Ocaba, the wedding dress designer and a family friend of the couple, shared with CDN Digital some photos during their wedding day, including their simple wedding ride going to church-- an e-bike.   Congratulations to the newly weds! | 📷: Hazel Ocaba via Immae Lachica #CDNDigital";"142802334452_10161454375339453";"2021-06-28T09:32:47+0000";"INQUIRER.net";"142802334452";"mobile_status_update"
